"Sub-Domain","Name","Dedicated Crawler","Dedicated Status","Broad Crawlers (Active, parent Domain)","Coverage Verdict","Bridging Action"
"D3.2","State Moratorium & Legislative Landscape","—","—","AUTO-003, AUTO-011, AUTO-012, AUTO-013, AUTO-016, AUTO-017, AUTO-029, AUTO-037","Broad-only","Strong broad (AUTO-013); monitor"
"D3.3","Utility Rate Cases & PUC Proceedings","—","—","AUTO-003, AUTO-011, AUTO-012, AUTO-013, AUTO-016, AUTO-017, AUTO-029, AUTO-037","Broad-only","Broad; AUTO-050 (PUC Rate Case) designed — activate w/ D18"
"D3.4","Transmission Buildout & FERC Policy","—","—","AUTO-003, AUTO-011, AUTO-012, AUTO-013, AUTO-016, AUTO-017, AUTO-029, AUTO-037","Whitespace","Primary-source connector: FERC eLibrary / Order 1920"
"D3.5","Large-Load Tariff Design & Co-Location Rules","—","—","AUTO-003, AUTO-011, AUTO-012, AUTO-013, AUTO-016, AUTO-017, AUTO-029, AUTO-037","Whitespace","Primary-source connector: FERC/PJM dockets"
"D4.1","PE & Infrastructure Fund Activity","—","—","AUTO-018, AUTO-019, AUTO-020, AUTO-023, AUTO-024, AUTO-038, AUTO-042, AUTO-044, AUTO-046","Broad-only","Broad (AUTO-019/020); monitor"
"D4.2","DC REIT Performance & Valuation","—","—","AUTO-018, AUTO-019, AUTO-020, AUTO-023, AUTO-024, AUTO-038, AUTO-042, AUTO-044, AUTO-046","Broad-only","Broad (AUTO-020/042); monitor"
"D4.3","Sovereign Wealth & Institutional Capital","—","—","AUTO-018, AUTO-019, AUTO-020, AUTO-023, AUTO-024, AUTO-038, AUTO-042, AUTO-044, AUTO-046","Broad-only","Broad (AUTO-019/033); monitor"
"D4.4","Integrated Infrastructure Vendor M&A","—","—","AUTO-018, AUTO-019, AUTO-020, AUTO-023, AUTO-024, AUTO-038, AUTO-042, AUTO-044, AUTO-046","Broad-only","Broad (AUTO-019); monitor"
"D4.5","Private Credit & DC Debt Financing","—","—","AUTO-018, AUTO-019, AUTO-020, AUTO-023, AUTO-024, AUTO-038, AUTO-042, AUTO-044, AUTO-046","Whitespace","New crawler (4.0-new) — Tier 1.5"
"D4.6","GPU-Backed & Neocloud Financing","—","—","AUTO-018, AUTO-019, AUTO-020, AUTO-023, AUTO-024, AUTO-038, AUTO-042, AUTO-044, AUTO-046","Whitespace","Primary-source connector: GPU-collateral/neocloud debt filings — Tier 1.5 (hot)"
"D5.1","Big 5 Capex & Campus Announcements","—","—","AUTO-020, AUTO-022, AUTO-023, AUTO-030, AUTO-032, AUTO-038, AUTO-046","Broad-only","Broad (AUTO-038); monitor"
"D5.2","Hyperscaler Custom Silicon Strategy","—","—","AUTO-020, AUTO-022, AUTO-023, AUTO-030, AUTO-032, AUTO-038, AUTO-046","Broad-only","Broad (AUTO-038/062-designed); monitor"
"D5.3","Build-vs-Lease & Colocation Strategy","—","—","AUTO-020, AUTO-022, AUTO-023, AUTO-030, AUTO-032, AUTO-038, AUTO-046","Whitespace","Claude Routine (build-vs-lease) — 4.0-new"
"D5.4","Capacity Geography & Region Expansion","—","—","AUTO-020, AUTO-022, AUTO-023, AUTO-030, AUTO-032, AUTO-038, AUTO-046","Whitespace","Claude Routine (capacity geography) — 4.0-new"
"D6.1","Neocloud Infrastructure","—","—","AUTO-002, AUTO-015, AUTO-019, AUTO-032, AUTO-033, AUTO-046","Broad-only","Broad (AUTO-024/044); monitor"
"D6.2","Sovereign AI Programs & National Compute (capital lens)","—","—","AUTO-002, AUTO-015, AUTO-019, AUTO-032, AUTO-033, AUTO-046","Broad-only","Broad (AUTO-033); monitor"
"D6.3","AI Labs & Model Developers as Infrastructure Buyers","—","—","AUTO-002, AUTO-015, AUTO-019, AUTO-032, AUTO-033, AUTO-046","Whitespace","New crawler — Tier 1.5 (hot)"
"D7.1","Direct-to-Chip Liquid Cooling (DLC)","—","—","AUTO-001, AUTO-014, AUTO-021, AUTO-023, AUTO-031, AUTO-040, AUTO-041","Whitespace","New crawler — Tier 1 (flagship T-002)"
"D7.2","Immersion Cooling","—","—","AUTO-001, AUTO-014, AUTO-021, AUTO-023, AUTO-031, AUTO-040, AUTO-041","Whitespace","New crawler — Tier 1 (flagship T-002)"
"D7.3","Water Use & Waterless Cooling Strategies","—","—","AUTO-001, AUTO-014, AUTO-021, AUTO-023, AUTO-031, AUTO-040, AUTO-041","Whitespace","New crawler — Tier 1 (flagship T-002)"
"D7.4","Thermal Components & Coolant Supply Chain","—","—","AUTO-001, AUTO-014, AUTO-021, AUTO-023, AUTO-031, AUTO-040, AUTO-041","Whitespace","Primary-source connector: standards bodies + coolant chemistry (3M/Chemours/PFAS) — Tier 1"
"D8.1","Executive Movement & C-Suite Intelligence","AUTO-046","Active","AUTO-037, AUTO-046","Dedicated-Active","Covered (AUTO-046 Active); monitor"
"D8.2","Conference Intelligence & Speaking Circuit","—","—","AUTO-037, AUTO-046","Whitespace","Scheduled Cowork — after AUTO-028/029 ID conflict resolved"
"D8.3","Talent Flows & Specialized Hiring Signals","—","—","AUTO-037, AUTO-046","Whitespace","New crawler (hiring velocity)"
"D8.4","Founder & Operator Network Mapping","—","—","AUTO-037, AUTO-046","Whitespace","Scheduled Cowork (network mapping)"
"D8.5","Earnings-Call & Investor-Day Signal Extraction","—","—","AUTO-037, AUTO-046","Whitespace","Scheduled Cowork (earnings extraction)"
"D9.1","AI Factory Orchestration & DCIM","—","—","AUTO-001, AUTO-014, AUTO-015, AUTO-021, AUTO-024, AUTO-034, AUTO-045","Whitespace","New crawler — Tier 1 (T-005)"
"D9.2","GPU Utilization & Compute Scheduling Economics","—","—","AUTO-001, AUTO-014, AUTO-015, AUTO-021, AUTO-024, AUTO-034, AUTO-045","Whitespace","New crawler — Tier 1 (T-005)"
"D9.3","Inference Serving & Model-Routing Infrastructure","—","—","AUTO-001, AUTO-014, AUTO-015, AUTO-021, AUTO-024, AUTO-034, AUTO-045","Whitespace","New crawler — Tier 1 (T-005)"
"D9.4","Power-Aware & Grid-Responsive Workload Orchestration","—","—","AUTO-001, AUTO-014, AUTO-015, AUTO-021, AUTO-024, AUTO-034, AUTO-045","Whitespace","New crawler — Tier 1 (T-005)"
"D10.1","Long-Lead Equipment & Supply Chain","—","—","AUTO-028","Whitespace","New crawler — Tier 1"
"D10.2","GC/EPC Capacity & Stick-Built Execution","—","—","AUTO-028","Whitespace","New crawler — Tier 1"
"D10.3","Modular & Prefabricated Delivery","—","—","AUTO-028","Whitespace","New crawler — Tier 1"
"D10.4","Project Delivery & Schedule Intelligence","AUTO-069","Active","AUTO-028","Dedicated-Active","Activated (FAR-200, 2026-06-24)"
"D10.5","Construction Cost Curves & Inflation","—","—","AUTO-028","Whitespace","New crawler — Tier 1"
"D11.1","Clean Energy Procurement (PPA/REC/CFE)","—","—","AUTO-029, AUTO-031","Whitespace","New crawler"
"D11.2","Carbon Accounting & Scope 1-3","—","—","AUTO-029, AUTO-031","Whitespace","New crawler"
"D11.3","Water Stewardship & Rights","AUTO-070","Designed","AUTO-029, AUTO-031","Dedicated-Designed","Activate (Tier 2)"
"D11.4","Heat Recovery & Circular DC","AUTO-071","Designed","AUTO-029, AUTO-031","Dedicated-Designed","Activate (Tier 2)"
"D11.5","Sustainability Regulation & Disclosure","AUTO-072","Designed","AUTO-029, AUTO-031","Dedicated-Designed","Activate (Tier 2)"
"D11.6","Embodied Carbon & Materials","—","—","AUTO-029, AUTO-031","Whitespace","New crawler"
"D12.1","Long-Haul & Dark Fiber Leasing","AUTO-073","Designed","AUTO-028","Dedicated-Designed","Activate (Tier 2)"
"D12.2","Subsea Cable Systems","AUTO-074","Designed","AUTO-028","Dedicated-Designed","Activate (Tier 2)"
"D12.3","AI Back-End Fabric & Interconnect","AUTO-075","Designed","AUTO-028","Dedicated-Designed","Activate (Tier 2)"
"D12.4","Cross-Connect & Cloud On-Ramp","AUTO-076","Designed","AUTO-028","Dedicated-Designed","Activate (Tier 2)"
"D12.5","Optical Transceivers & Co-Packaged Optics","AUTO-077","Designed","AUTO-028","Dedicated-Designed","Activate (Tier 2)"
"D12.6","Small Cell, Private 5G & Terrestrial Wireless","AUTO-078","Designed","AUTO-028","Dedicated-Designed","Activate (Tier 2)"
"D12.7","LEO / Satellite Broadband","AUTO-079","Designed","AUTO-028","Dedicated-Designed","Activate (Tier 2)"
"D13.1","Community Benefits & Host Agreements","AUTO-080","Designed","AUTO-029, AUTO-031","Dedicated-Designed","Activate (Tier 2)"
"D13.2","Opposition Movements & Organized Groups","AUTO-081","Designed","AUTO-029, AUTO-031","Dedicated-Designed","Activate (Tier 2)"
"D13.3","Local Permitting & Entitlement Strategy","AUTO-082","Designed","AUTO-029, AUTO-031","Dedicated-Designed","Activate (Tier 2)"
"D13.4","Public Engagement Practice","AUTO-083","Designed","AUTO-029, AUTO-031","Dedicated-Designed","Activate (Tier 2)"
"D13.5","Economic Impact Narratives & Legitimacy","AUTO-084","Designed","AUTO-029, AUTO-031","Dedicated-Designed","Activate (Tier 2)"
"D14.1","Site Selection Methodology","—","—","AUTO-030","Whitespace","Scheduled Cowork (methodology synthesis)"
"D14.2","Primary Market Intelligence (NA Tier 1)","AUTO-085","Designed","AUTO-030","Dedicated-Designed","Activate (Tier 2)"
"D14.3","Emerging & Second-Tier Markets","AUTO-086","Designed","AUTO-030","Dedicated-Designed","Activate (Tier 2)"
"D14.4","International Markets","AUTO-087","Designed","AUTO-030","Dedicated-Designed","Activate (Tier 2)"
"D14.5","Land Pricing & Acquisition","AUTO-088","Designed","AUTO-030","Dedicated-Designed","Activate (Tier 2)"
"D14.6","Site Certification & Readiness","AUTO-089","Designed","AUTO-030","Dedicated-Designed","Activate (Tier 2)"
"D14.7","Campus Portfolio Strategy & Build Models","—","—","AUTO-030","Whitespace","New crawler (cross-link D5.3)"
"D15.1","Chip Export Controls & Outbound Dual-Use","—","—","AUTO-033, AUTO-047","Broad-only","Broad (AUTO-047 BIS Active); monitor"
"D15.2","National Compute Strategies & Sovereign Programs","AUTO-090","Designed","AUTO-033, AUTO-047","Dedicated-Designed","Activate (Tier 2)"
"D15.3","Bilateral & Multilateral AI Diplomacy","AUTO-091","Designed","AUTO-033, AUTO-047","Dedicated-Designed","Activate (Tier 2)"
"D15.4","Strategic Minerals & Upstream Supply","AUTO-092","Designed","AUTO-033, AUTO-047","Dedicated-Designed","Activate (Tier 2)"
"D15.5","Data Sovereignty & Cross-Border Flows","AUTO-093","Designed","AUTO-033, AUTO-047","Dedicated-Designed","Activate (Tier 2)"
"D15.6","Inbound Investment Screening","AUTO-094","Designed","AUTO-033, AUTO-047","Dedicated-Designed","Activate (Tier 2)"
"D16.1","Enterprise IT & Cloud Security","AUTO-114","Designed","AUTO-034","Dedicated-Designed","Activate (Tier 2)"
"D16.2","OT / ICS / SCADA Cybersecurity","AUTO-115","Designed","AUTO-034","Dedicated-Designed","Activate (Tier 2)"
"D16.3","Physical Security & Access Control","AUTO-116","Designed","AUTO-034","Dedicated-Designed","Activate (Tier 2)"
"D16.4","State-Sponsored & Advanced Persistent Threats","AUTO-117","Designed","AUTO-034","Dedicated-Designed","Activate (Tier 2)"
"D16.5","Software Supply Chain & Vendor Risk","—","—","AUTO-034","Whitespace","New crawler"
"D16.6","Security Operations & Incident Response","—","—","AUTO-034","Whitespace","New crawler"
"D17.1","Construction & Skilled Trades Labor","AUTO-119","Designed","AUTO-032","Dedicated-Designed","Activate (Tier 2) — registry tag 'D17' → set D17.1"
"D17.2","Operations & Technical Workforce","AUTO-118","Designed","AUTO-032","Dedicated-Designed","Activate (Tier 2) — registry tag 'D17' → set D17.2"
"D17.3","Immigration, Policy & Regional Labor Competition","—","—","AUTO-032","Whitespace","New crawler"
"D18.1","Project Opposition Register","AUTO-176","Designed","AUTO-029, AUTO-052","Dedicated-Designed","Activate (Tier 2) — reassigned off AUTO-049 collision (now AUTO-176)"
"D18.2","Regulatory & Permitting Denial Tracking","AUTO-051","Designed","AUTO-029, AUTO-052","Dedicated-Designed","Activate (Tier 2)"
"D18.3","Reputational & Political Risk Register","AUTO-052","Designed","AUTO-029, AUTO-052","Dedicated-Designed","Claude Routine (reputational/political risk)"
"D19.1","State & Local Tax Incentives","AUTO-095","Designed","AUTO-012, AUTO-013","Dedicated-Designed","Activate (Tier 2)"
"D19.2","Federal Tax Policy","AUTO-096","Designed","AUTO-012, AUTO-013","Dedicated-Designed","Activate (Tier 2)"
"D19.3","International Tax & Transfer Pricing","AUTO-097","Designed","AUTO-012, AUTO-013","Dedicated-Designed","Activate (Tier 2)"
"D19.4","Tax Incentive Backlash & Clawback","AUTO-098","Designed","AUTO-012, AUTO-013","Dedicated-Designed","Activate (Tier 2)"
"D19.5","Tax-Driven Deal Structuring","AUTO-099","Designed","AUTO-012, AUTO-013","Dedicated-Designed","Activate (Tier 2)"
"D20.1","Building Management Systems & HVAC Control","AUTO-100","Designed","—","Dedicated-Designed","Activate (Tier 2)"
"D20.2","Facility DCIM & Digital Twin","AUTO-101","Designed","—","Dedicated-Designed","Activate (Tier 2)"
"D21.1","DC Property & Casualty Insurance","AUTO-102","Designed","AUTO-018","Dedicated-Designed","Activate (Tier 2)"
"D21.2","Cyber Insurance & Tech E&O","AUTO-103","Designed","AUTO-018","Dedicated-Designed","Activate (Tier 2)"
"D21.3","Climate & Parametric Risk Products","AUTO-104","Designed","AUTO-018","Dedicated-Designed","Activate (Tier 2)"
"D21.4","Lender Insurance & Risk Transfer","AUTO-105","Designed","AUTO-018","Dedicated-Designed","Activate (Tier 2)"
"D22.1","U.S. Media Coverage","AUTO-106","Designed","AUTO-023","Dedicated-Designed","Activate (Tier 2)"
"D22.2","EU Media Coverage","AUTO-107","Designed","AUTO-023","Dedicated-Designed","Activate (Tier 2)"
"D22.3","APAC / LATAM / MENA Media Coverage","AUTO-108","Designed","AUTO-023","Dedicated-Designed","Activate (Tier 2)"
"D22.4","Industry Analysts","AUTO-109","Designed","AUTO-023","Dedicated-Designed","Activate (Tier 2)"
"D23.1","Major Outage Postmortems","AUTO-110","Designed","AUTO-034","Dedicated-Designed","Activate (Tier 2)"
"D23.2","Grid Events & Physical Disasters","AUTO-111","Designed","AUTO-034","Dedicated-Designed","Activate (Tier 2)"
"D23.3","Cyber Incidents Targeting DC Infrastructure","AUTO-112","Designed","AUTO-034","Dedicated-Designed","Activate (Tier 2)"
"D23.4","Business Continuity & Disaster Recovery","AUTO-113","Designed","AUTO-034","Dedicated-Designed","Activate (Tier 2)"
