theme_date,theater_id,theater_name,sector_code,sector_name,thread_codes,thread_names,jpas_tier_code,theme_title,theme_blurb,maturity_grade,coverage_grade
"2026-08-29","T-003","The Consent Crisis","D22","Industry Media & Analyst Coverage","D22.3; D22.4","APAC / LATAM / MENA Media Coverage; Industry Analysts","LBR","The Consent Crisis: Industry Media & Analyst Coverage","Communities are the new permitting authority. Today The Consent Crisis turns to the Industry Media & Analyst Coverage sector — tracking APAC / LATAM / MENA Media Coverage and Industry Analysts.","Established","Dedicated"
"2026-08-30","T-006","The Sovereign AI Race","D21","Insurance & Risk Markets","D21.2","Cyber Insurance & Tech E&O","NET","The Sovereign AI Race: Insurance & Risk Markets","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Insurance & Risk Markets sector — tracking Cyber Insurance & Tech E&O.","Established","Dedicated"
"2026-08-31","T-004","The Capital Concentration","D19","Tax, Incentives & Fiscal Policy","D19.2; D19.1; D19.5","Federal Tax Policy; State & Local Tax Incentives; Tax-Driven Deal Structuring","REG","The Capital Concentration: Tax, Incentives & Fiscal Policy","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Tax, Incentives & Fiscal Policy sector — tracking Federal Tax Policy, State & Local Tax Incentives and Tax-Driven Deal Structuring.","Established","Dedicated"
"2026-09-01","T-002","The Thermal Reckoning","D1","Chips & Density","D1.8; D1.4; D1.1","Advanced Packaging & Substrate Capacity; Memory (HBM & Next-Gen); GPU Architecture & Roadmap","LBR","The Thermal Reckoning: Chips & Density","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Chips & Density sector — tracking Advanced Packaging & Substrate Capacity, Memory (HBM & Next-Gen) and GPU Architecture & Roadmap.","Established","Dedicated"
"2026-09-02","T-001","The Power Reckoning","D12","Networking & Interconnect","D12.1","Long-Haul & Dark Fiber Leasing","INC","The Power Reckoning: Networking & Interconnect","The grid wasn't built for this. Today The Power Reckoning turns to the Networking & Interconnect sector — tracking Long-Haul & Dark Fiber Leasing.","Established","Dedicated"
"2026-09-03","T-003","The Consent Crisis","D8","People & Signals","D8.2","Conference Intelligence & Speaking Circuit","INC","The Consent Crisis: People & Signals","Communities are the new permitting authority. Today The Consent Crisis turns to the People & Signals sector — tracking Conference Intelligence & Speaking Circuit.","Established","Whitespace"
"2026-09-04","T-005","The Inference Economy","D4","M&A & Capital Markets","D4.6","GPU-Backed & Neocloud Financing","RSC","The Inference Economy: M&A & Capital Markets","Training built the factories. Inference fills them. Today The Inference Economy turns to the M&A & Capital Markets sector — tracking GPU-Backed & Neocloud Financing.","Established","Whitespace"
"2026-09-05","T-006","The Sovereign AI Race","D2","Power Architecture","D2.5","Nuclear & SMR Offtake","REG","The Sovereign AI Race: Power Architecture","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Power Architecture sector — tracking Nuclear & SMR Offtake.","Established","Dedicated"
"2026-09-06","T-001","The Power Reckoning","D14","Real Estate & Site Selection","D14.2; D14.3; D14.5","Primary Market Intelligence (NA Tier 1); Emerging & Second-Tier Markets; Land Pricing & Acquisition","WTR","The Power Reckoning: Real Estate & Site Selection","The grid wasn't built for this. Today The Power Reckoning turns to the Real Estate & Site Selection sector — tracking Primary Market Intelligence (NA Tier 1), Emerging & Second-Tier Markets and Land Pricing & Acquisition.","Established","Dedicated"
"2026-09-07","T-004","The Capital Concentration","D10","Construction","D10.4","Project Delivery & Schedule Intelligence","REG","The Capital Concentration: Construction","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Construction sector — tracking Project Delivery & Schedule Intelligence.","Established","Dedicated"
"2026-09-08","T-005","The Inference Economy","D6","New Entrants","D6.1; D6.3","Neocloud Infrastructure; AI Labs & Model Developers as Infrastructure Buyers","RSC","The Inference Economy: New Entrants","Training built the factories. Inference fills them. Today The Inference Economy turns to the New Entrants sector — tracking Neocloud Infrastructure and AI Labs & Model Developers as Infrastructure Buyers.","Established","Broad-only"
"2026-09-09","T-003","The Consent Crisis","D15","Sovereign AI & Geopolitics","D15.5","Data Sovereignty & Cross-Border Flows","PWR","The Consent Crisis: Sovereign AI & Geopolitics","Communities are the new permitting authority. Today The Consent Crisis turns to the Sovereign AI & Geopolitics sector — tracking Data Sovereignty & Cross-Border Flows.","Established","Dedicated"
"2026-09-10","T-002","The Thermal Reckoning","D11","Sustainability","D11.4","Heat Recovery & Circular DC","NET","The Thermal Reckoning: Sustainability","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Sustainability sector — tracking Heat Recovery & Circular DC.","Established","Dedicated"
"2026-09-11","T-004","The Capital Concentration","D5","Hyperscaler Activity","D5.1; D5.3","Big 5 Capex & Campus Announcements; Build-vs-Lease & Colocation Strategy","INC","The Capital Concentration: Hyperscaler Activity","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Hyperscaler Activity sector — tracking Big 5 Capex & Campus Announcements and Build-vs-Lease & Colocation Strategy.","Established","Broad-only"
"2026-09-12","T-005","The Inference Economy","D22","Industry Media & Analyst Coverage","D22.3; D22.4","APAC / LATAM / MENA Media Coverage; Industry Analysts","PWR","The Inference Economy: Industry Media & Analyst Coverage","Training built the factories. Inference fills them. Today The Inference Economy turns to the Industry Media & Analyst Coverage sector — tracking APAC / LATAM / MENA Media Coverage and Industry Analysts.","Established","Dedicated"
"2026-09-13","T-006","The Sovereign AI Race","D23","Outage Intelligence & Emergency Response","D23.3","Cyber Incidents Targeting DC Infrastructure","INC","The Sovereign AI Race: Outage Intelligence & Emergency Response","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Outage Intelligence & Emergency Response sector — tracking Cyber Incidents Targeting DC Infrastructure.","Established","Dedicated"
"2026-09-14","T-001","The Power Reckoning","D21","Insurance & Risk Markets","D21.1; D21.4","DC Property & Casualty Insurance; Lender Insurance & Risk Transfer","INC","The Power Reckoning: Insurance & Risk Markets","The grid wasn't built for this. Today The Power Reckoning turns to the Insurance & Risk Markets sector — tracking DC Property & Casualty Insurance and Lender Insurance & Risk Transfer.","Established","Dedicated"
"2026-09-15","T-003","The Consent Crisis","D19","Tax, Incentives & Fiscal Policy","D19.1","State & Local Tax Incentives","WTR","The Consent Crisis: Tax, Incentives & Fiscal Policy","Communities are the new permitting authority. Today The Consent Crisis turns to the Tax, Incentives & Fiscal Policy sector — tracking State & Local Tax Incentives.","Established","Dedicated"
"2026-09-16","T-002","The Thermal Reckoning","D12","Networking & Interconnect","D12.3; D12.5","AI Back-End Fabric & Interconnect; Optical Transceivers & Co-Packaged Optics","INC","The Thermal Reckoning: Networking & Interconnect","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Networking & Interconnect sector — tracking AI Back-End Fabric & Interconnect and Optical Transceivers & Co-Packaged Optics.","Established","Dedicated"
"2026-09-17","T-004","The Capital Concentration","D8","People & Signals","D8.1; D8.4; D8.3","Executive Movement & C-Suite Intelligence; Founder & Operator Network Mapping; Talent Flows & Specialized Hiring Signals","PWR","The Capital Concentration: People & Signals","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the People & Signals sector — tracking Executive Movement & C-Suite Intelligence, Founder & Operator Network Mapping and Talent Flows & Specialized Hiring Signals.","Established","Dedicated"
"2026-09-18","T-001","The Power Reckoning","D3","Grid & Regulatory","D3.1; D3.2; D3.3","Interconnection Queue & Grid Access; State Moratorium & Legislative Landscape; Utility Rate Cases & PUC Proceedings","NET","The Power Reckoning: Grid & Regulatory","The grid wasn't built for this. Today The Power Reckoning turns to the Grid & Regulatory sector — tracking Interconnection Queue & Grid Access, State Moratorium & Legislative Landscape and Utility Rate Cases & PUC Proceedings.","Established","Broad-only"
"2026-09-19","T-005","The Inference Economy","D1","Chips & Density","D1.5; D1.7; D1.8","Inference-Class Silicon & Economics; Hyperscaler-Class Silicon & Custom Accelerators; Advanced Packaging & Substrate Capacity","COM","The Inference Economy: Chips & Density","Training built the factories. Inference fills them. Today The Inference Economy turns to the Chips & Density sector — tracking Inference-Class Silicon & Economics, Hyperscaler-Class Silicon & Custom Accelerators and Advanced Packaging & Substrate Capacity.","Established","Dedicated"
"2026-09-20","T-003","The Consent Crisis","D14","Real Estate & Site Selection","D14.3; D14.2","Emerging & Second-Tier Markets; Primary Market Intelligence (NA Tier 1)","LBR","The Consent Crisis: Real Estate & Site Selection","Communities are the new permitting authority. Today The Consent Crisis turns to the Real Estate & Site Selection sector — tracking Emerging & Second-Tier Markets and Primary Market Intelligence (NA Tier 1).","Established","Dedicated"
"2026-09-21","T-002","The Thermal Reckoning","D4","M&A & Capital Markets","D4.4","Integrated Infrastructure Vendor M&A","WTR","The Thermal Reckoning: M&A & Capital Markets","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the M&A & Capital Markets sector — tracking Integrated Infrastructure Vendor M&A.","Established","Broad-only"
"2026-09-22","T-006","The Sovereign AI Race","D2","Power Architecture","D2.5","Nuclear & SMR Offtake","RSC","The Sovereign AI Race: Power Architecture","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Power Architecture sector — tracking Nuclear & SMR Offtake.","Established","Dedicated"
"2026-09-23","T-004","The Capital Concentration","D10","Construction","D10.4; D10.5","Project Delivery & Schedule Intelligence; Construction Cost Curves & Inflation","NET","The Capital Concentration: Construction","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Construction sector — tracking Project Delivery & Schedule Intelligence and Construction Cost Curves & Inflation.","Established","Dedicated"
"2026-09-24","T-003","The Consent Crisis","D11","Sustainability","D11.5; D11.3; D11.2","Sustainability Regulation & Disclosure; Water Stewardship & Rights; Carbon Accounting & Scope 1-3","ENV","The Consent Crisis: Sustainability","Communities are the new permitting authority. Today The Consent Crisis turns to the Sustainability sector — tracking Sustainability Regulation & Disclosure, Water Stewardship & Rights and Carbon Accounting & Scope 1-3.","Established","Dedicated"
"2026-09-25","T-005","The Inference Economy","D6","New Entrants","D6.1; D6.3","Neocloud Infrastructure; AI Labs & Model Developers as Infrastructure Buyers","WTR","The Inference Economy: New Entrants","Training built the factories. Inference fills them. Today The Inference Economy turns to the New Entrants sector — tracking Neocloud Infrastructure and AI Labs & Model Developers as Infrastructure Buyers.","Established","Broad-only"
"2026-09-26","T-002","The Thermal Reckoning","D22","Industry Media & Analyst Coverage","D22.1; D22.2","U.S. Media Coverage; EU Media Coverage","NET","The Thermal Reckoning: Industry Media & Analyst Coverage","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Industry Media & Analyst Coverage sector — tracking U.S. Media Coverage and EU Media Coverage.","Established","Dedicated"
"2026-09-27","T-001","The Power Reckoning","D23","Outage Intelligence & Emergency Response","D23.1; D23.2; D23.4","Major Outage Postmortems; Grid Events & Physical Disasters; Business Continuity & Disaster Recovery","NET","The Power Reckoning: Outage Intelligence & Emergency Response","The grid wasn't built for this. Today The Power Reckoning turns to the Outage Intelligence & Emergency Response sector — tracking Major Outage Postmortems, Grid Events & Physical Disasters and Business Continuity & Disaster Recovery.","Established","Dedicated"
"2026-09-28","T-006","The Sovereign AI Race","D5","Hyperscaler Activity","D5.4","Capacity Geography & Region Expansion","PWR","The Sovereign AI Race: Hyperscaler Activity","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Hyperscaler Activity sector — tracking Capacity Geography & Region Expansion.","Established","Whitespace"
"2026-09-29","T-003","The Consent Crisis","D21","Insurance & Risk Markets","D21.3","Climate & Parametric Risk Products","ENV","The Consent Crisis: Insurance & Risk Markets","Communities are the new permitting authority. Today The Consent Crisis turns to the Insurance & Risk Markets sector — tracking Climate & Parametric Risk Products.","Established","Dedicated"
"2026-09-30","T-005","The Inference Economy","D15","Sovereign AI & Geopolitics","D15.2","National Compute Strategies & Sovereign Programs","RSC","The Inference Economy: Sovereign AI & Geopolitics","Training built the factories. Inference fills them. Today The Inference Economy turns to the Sovereign AI & Geopolitics sector — tracking National Compute Strategies & Sovereign Programs.","Established","Dedicated"
"2026-10-01","T-004","The Capital Concentration","D12","Networking & Interconnect","D12.1; D12.2","Long-Haul & Dark Fiber Leasing; Subsea Cable Systems","LBR","The Capital Concentration: Networking & Interconnect","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Networking & Interconnect sector — tracking Long-Haul & Dark Fiber Leasing and Subsea Cable Systems.","Established","Dedicated"
"2026-10-02","T-001","The Power Reckoning","D3","Grid & Regulatory","D3.1; D3.2","Interconnection Queue & Grid Access; State Moratorium & Legislative Landscape","PWR","The Power Reckoning: Grid & Regulatory","The grid wasn't built for this. Today The Power Reckoning turns to the Grid & Regulatory sector — tracking Interconnection Queue & Grid Access and State Moratorium & Legislative Landscape.","Established","Broad-only"
"2026-10-03","T-002","The Thermal Reckoning","D1","Chips & Density","D1.8","Advanced Packaging & Substrate Capacity","REG","The Thermal Reckoning: Chips & Density","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Chips & Density sector — tracking Advanced Packaging & Substrate Capacity.","Established","Dedicated"
"2026-10-04","T-006","The Sovereign AI Race","D14","Real Estate & Site Selection","D14.4","International Markets","ENV","The Sovereign AI Race: Real Estate & Site Selection","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Real Estate & Site Selection sector — tracking International Markets.","Established","Dedicated"
"2026-10-05","T-004","The Capital Concentration","D8","People & Signals","D8.1; D8.4; D8.5","Executive Movement & C-Suite Intelligence; Founder & Operator Network Mapping; Earnings-Call & Investor-Day Signal Extraction","REG","The Capital Concentration: People & Signals","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the People & Signals sector — tracking Executive Movement & C-Suite Intelligence, Founder & Operator Network Mapping and Earnings-Call & Investor-Day Signal Extraction.","Established","Dedicated"
"2026-10-06","T-001","The Power Reckoning","D2","Power Architecture","D2.8","Grid-Interactive Load & Demand Response","ENV","The Power Reckoning: Power Architecture","The grid wasn't built for this. Today The Power Reckoning turns to the Power Architecture sector — tracking Grid-Interactive Load & Demand Response.","Established","Dedicated"
"2026-10-07","T-002","The Thermal Reckoning","D4","M&A & Capital Markets","D4.4","Integrated Infrastructure Vendor M&A","REG","The Thermal Reckoning: M&A & Capital Markets","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the M&A & Capital Markets sector — tracking Integrated Infrastructure Vendor M&A.","Established","Broad-only"
"2026-10-08","T-006","The Sovereign AI Race","D19","Tax, Incentives & Fiscal Policy","D19.3","International Tax & Transfer Pricing","LBR","The Sovereign AI Race: Tax, Incentives & Fiscal Policy","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Tax, Incentives & Fiscal Policy sector — tracking International Tax & Transfer Pricing.","Established","Dedicated"
"2026-10-09","T-003","The Consent Crisis","D11","Sustainability","D11.5","Sustainability Regulation & Disclosure","REG","The Consent Crisis: Sustainability","Communities are the new permitting authority. Today The Consent Crisis turns to the Sustainability sector — tracking Sustainability Regulation & Disclosure.","Established","Dedicated"
"2026-10-10","T-005","The Inference Economy","D22","Industry Media & Analyst Coverage","D22.2; D22.1; D22.4","EU Media Coverage; U.S. Media Coverage; Industry Analysts","ENV","The Inference Economy: Industry Media & Analyst Coverage","Training built the factories. Inference fills them. Today The Inference Economy turns to the Industry Media & Analyst Coverage sector — tracking EU Media Coverage, U.S. Media Coverage and Industry Analysts.","Established","Dedicated"
"2026-10-11","T-002","The Thermal Reckoning","D10","Construction","D10.3","Modular & Prefabricated Delivery","RSC","The Thermal Reckoning: Construction","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Construction sector — tracking Modular & Prefabricated Delivery.","Established","Whitespace"
"2026-10-12","T-004","The Capital Concentration","D5","Hyperscaler Activity","D5.1; D5.3","Big 5 Capex & Campus Announcements; Build-vs-Lease & Colocation Strategy","COM","The Capital Concentration: Hyperscaler Activity","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Hyperscaler Activity sector — tracking Big 5 Capex & Campus Announcements and Build-vs-Lease & Colocation Strategy.","Established","Broad-only"
"2026-10-13","T-006","The Sovereign AI Race","D21","Insurance & Risk Markets","D21.2","Cyber Insurance & Tech E&O","LBR","The Sovereign AI Race: Insurance & Risk Markets","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Insurance & Risk Markets sector — tracking Cyber Insurance & Tech E&O.","Established","Dedicated"
"2026-10-14","T-005","The Inference Economy","D6","New Entrants","D6.1","Neocloud Infrastructure","LBR","The Inference Economy: New Entrants","Training built the factories. Inference fills them. Today The Inference Economy turns to the New Entrants sector — tracking Neocloud Infrastructure.","Established","Broad-only"
"2026-10-15","T-003","The Consent Crisis","D15","Sovereign AI & Geopolitics","D15.5","Data Sovereignty & Cross-Border Flows","NET","The Consent Crisis: Sovereign AI & Geopolitics","Communities are the new permitting authority. Today The Consent Crisis turns to the Sovereign AI & Geopolitics sector — tracking Data Sovereignty & Cross-Border Flows.","Established","Dedicated"
"2026-10-16","T-001","The Power Reckoning","D3","Grid & Regulatory","D3.1; D3.2","Interconnection Queue & Grid Access; State Moratorium & Legislative Landscape","COM","The Power Reckoning: Grid & Regulatory","The grid wasn't built for this. Today The Power Reckoning turns to the Grid & Regulatory sector — tracking Interconnection Queue & Grid Access and State Moratorium & Legislative Landscape.","Established","Broad-only"
"2026-10-17","T-006","The Sovereign AI Race","D23","Outage Intelligence & Emergency Response","D23.3","Cyber Incidents Targeting DC Infrastructure","LBR","The Sovereign AI Race: Outage Intelligence & Emergency Response","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Outage Intelligence & Emergency Response sector — tracking Cyber Incidents Targeting DC Infrastructure.","Established","Dedicated"
"2026-10-18","T-005","The Inference Economy","D1","Chips & Density","D1.7; D1.4; D1.8","Hyperscaler-Class Silicon & Custom Accelerators; Memory (HBM & Next-Gen); Advanced Packaging & Substrate Capacity","LBR","The Inference Economy: Chips & Density","Training built the factories. Inference fills them. Today The Inference Economy turns to the Chips & Density sector — tracking Hyperscaler-Class Silicon & Custom Accelerators, Memory (HBM & Next-Gen) and Advanced Packaging & Substrate Capacity.","Established","Dedicated"
