record_id,puzzle_type,puzzle_name,original_go_live,new_go_live,published_from,published_to,is_repeat_content
recy9Z2N6Fr3GjwqQ,Rackl,"Grid Anatomy",2026-06-17,2026-08-04,Published,Published,false
recntkC1R7dUG3BRr,Signal Drop,"ENTITLEMENT",2026-06-17,2026-08-04,Published,Published,false
recclNWUJJPe9HQqf,The Stack,"Rank Interconnection Queue Steps in Order",2026-06-17,2026-08-04,Published,Published,false
recbMYdK61ySwkG2f,Circuit,"Cooling & Water True/False Sprint #1",2026-06-17,2026-08-04,Published,Published,false
recXM6bQll8wg6Cxo,The Brief,"Hyperscaler Capex: What $660B Buys",2026-06-17,2026-08-04,Published,Published,false
recMCyGygGo0qZyDQ,Dark Fiber,"Hyperscaler Activity Terms #1",2026-06-17,2026-08-04,Published,Published,false
recfTSUMx0c75TgOO,Frequency,"People & Signals Quiz #1",2026-06-17,2026-08-04,Published,Published,false
reczNFouDkGualtm5,Rackl,"State of Play",2026-06-18,2026-08-05,Published,Published,false
recwlJY09lmFm3qLc,Signal Drop,"HYPERSCALER",2026-06-18,2026-08-05,Published,Published,false
recmdnacebNzm8oUt,The Stack,"Rank DC Build Phases in Order: Land → Grid → Shell → Fit-Out",2026-06-18,2026-08-05,Published,Published,false
reclQleZ6vt8hXSxc,Circuit,"Chips & Density True/False Sprint #1",2026-06-18,2026-08-05,Published,Published,false
recabTZjhAjyUgduL,The Brief,"Export Controls and the AI Chip Supply Chain",2026-06-18,2026-08-05,Published,Published,false
recVJggRtblhnGbfD,Dark Fiber,"Cooling & Water Terms #1",2026-06-18,2026-08-05,Published,Published,false
recg2yrTKBG7DRX0e,Frequency,"Cooling & Water Technology Quiz #1",2026-06-18,2026-08-05,Published,Published,false
reczSLAKsQbN2Pvyn,Rackl,"Alphabet Soup",2026-06-19,2026-08-06,Published,Published,false
recxpWNvDPU6mYUIv,Signal Drop,"NEOCLOUD",2026-06-19,2026-08-06,Published,Published,false
recmsKt4RgQWSENFt,The Stack,"Rank Rack Densities Lowest → Highest: 5kW → 20kW → 60kW → 120kW",2026-06-19,2026-08-06,Published,Published,false
recsAXFvJv0YNv54e,Circuit,"Orchestration True/False Sprint #1",2026-06-19,2026-08-06,Published,Published,false
recj5mpSnvjx1GQL4,The Brief,"The Nuclear Bet: Why Hyperscalers Want Reactors",2026-06-19,2026-08-06,Published,Published,false
recivlOXNjg3NxFoF,Frequency,"Hyperscaler Activity Quiz #1",2026-06-19,2026-08-06,Published,Published,false
recXKrZjc0Yk6q8in,Dark Fiber,"Power Architecture Terms #1",2026-06-19,2026-08-06,Published,Published,false
recs3vaXWqWfND2Nc,Rackl,"Chips & Accelerators",2026-06-21,2026-08-07,Published,Published,false
recyy0OHvR9lUljza,Signal Drop,"CDU",2026-06-21,2026-08-07,Published,Published,false
recUtzrromjq8Ec5O,Dark Fiber,"Silicon Terms",2026-06-21,2026-08-07,Published,Published,false
recJfrsQSLSL9ZqI6,Frequency,"Chips & Density Quiz",2026-06-21,2026-08-07,Published,Published,false
recoo7NJQq7krAn5T,Circuit,"Chips True/False Sprint",2026-06-21,2026-08-07,Published,Published,false
recP2gWygOe9egXfP,The Stack,"Rank by Voltage Class",2026-06-21,2026-08-07,Published,Published,false
rec9k9E1iPPKYmJx3,The Brief,"Behind-the-Meter Generation",2026-06-21,2026-08-07,Published,Published,false
rec5NeUP1MZJCN08i,The Stack,"Rank the GPU Generations: Hopper → Blackwell → Vera Rubin → Feynman",2026-06-10,2026-08-08,Retired,Published,true
rec42ytW55eeNBDvo,Circuit,"People & Signals True/False Sprint #1",2026-06-10,2026-08-08,Retired,Published,true
rec5OpXMA6iASNQXz,The Brief,"The 800V DC Transition",2026-06-10,2026-08-08,Retired,Published,true
rec0skhQCvM8bqprz,Frequency,"New Entrants Quiz #1",2026-06-10,2026-08-08,Retired,Published,true
rec3Me5nOqBcImzMX,Dark Fiber,"Know Your Facility",2026-06-10,2026-08-08,Retired,Published,true
rec2pN9gzrJflRv67,Signal Drop,"BUSBAR",2026-06-10,2026-08-08,Retired,Published,true
recOjdqvFPGwVOgbf,Rackl,"The Power Stack",2026-06-10,2026-08-08,Retired,Published,true
recS371owQoUY4DGX,Rackl,"The Neocloud Era",2026-06-11,2026-08-09,Retired,Published,true
rec362F3HOvqHhjzM,Signal Drop,"BUSBAR",2026-06-11,2026-08-09,Retired,Published,true
rec7kCJcixTj2NxLJ,The Stack,"Rank Cooling Methods by Water Consumption (Low → High)",2026-06-11,2026-08-09,Retired,Published,true
rec9g80mVTHTgLWPe,Circuit,"Hyperscaler Activity True/False Sprint #1",2026-06-11,2026-08-09,Retired,Published,true
rec8Mdp2z3WYPLzE9,The Brief,"Liquid Cooling: From Air to Immersion",2026-06-11,2026-08-09,Retired,Published,true
rec4f98Iy56e6ckZM,Dark Fiber,"Chips & Density Terms #1",2026-06-11,2026-08-09,Retired,Published,true
rec4VzfAmpLqw8wxa,Frequency,"M&A & Capital Markets Quiz #1",2026-06-11,2026-08-09,Retired,Published,true
recZqhTSGN4wpEoO6,Rackl,"The Power Stack",2026-06-12,2026-08-10,Retired,Published,true
recEdAeFX52HpZlBO,Signal Drop,"ENERGIZATION",2026-06-12,2026-08-10,Retired,Published,true
rec9vAkfpiFkTzb1t,Circuit,"Cross-Domain True/False Sprint #1",2026-06-12,2026-08-10,Retired,Published,true
rec9WgBoBj03CYNn1,The Brief,"The Density Dividend Explained",2026-06-12,2026-08-10,Retired,Published,true
rec8v3t5GMAhHcnYP,Dark Fiber,"Power Architecture Terms #1",2026-06-12,2026-08-10,Retired,Published,true
recASOdyZz9jMUoXF,The Stack,"Heat Hierarchy",2026-06-12,2026-08-10,Retired,Published,true
rec5Jf5AriXHujwVX,Frequency,"Power Architecture Quiz #1",2026-06-12,2026-08-10,Retired,Published,true
reccIP8LV0BaRGeqT,Rackl,"Real Estate Fundamentals",2026-06-13,2026-08-11,Retired,Published,true
recIEFXwT34btbLP3,Signal Drop,"SWITCHGEAR",2026-06-13,2026-08-11,Retired,Published,true
recGsaEP2FB1jw5qf,The Stack,"Rank Power Sources by Carbon Intensity (Low → High)",2026-06-13,2026-08-11,Retired,Published,true
recAyZ6aWxy78nMya,The Brief,"Sovereign AI: Infrastructure as National Strategy",2026-06-13,2026-08-11,Retired,Published,true
recA3vAFszxVyINig,Dark Fiber,"Cross-Domain Terms #1",2026-06-13,2026-08-11,Retired,Published,true
recQQuI4Hxud6AgFx,Frequency,"Cross-Domain Knowledge Quiz #1",2026-06-13,2026-08-11,Retired,Published,true
recANiv7VLVLC3YtY,Circuit,"Power Architecture True/False Sprint #1",2026-06-13,2026-08-11,Retired,Published,true
recDpdd9wuBvLkLb2,Rackl,"Cooling Lineup",2026-06-20,2026-08-12,Retired,Published,true
rec0SZTXDLRvTGp5S,Signal Drop,"BUSWAY",2026-06-20,2026-08-12,Retired,Published,true
recLP5I7zWOoevrd7,Dark Fiber,"Power Vocabulary",2026-06-20,2026-08-12,Retired,Published,true
reczl09yosNN1ban9,Frequency,"Power Architecture Quiz",2026-06-20,2026-08-12,Retired,Published,true
recnnCST186oZfr88,Circuit,"Power True/False Sprint",2026-06-20,2026-08-12,Retired,Published,true
recd8wyIyBOgI0Anc,The Stack,"Rank GPUs by TDP",2026-06-20,2026-08-12,Retired,Published,true
recZiESY2ydEVJPRQ,The Brief,"The Interconnection Queue Crunch",2026-06-20,2026-08-12,Retired,Published,true
recD9Zds7pm0APIno,Rackl,"Power Players",2026-06-22,2026-08-13,Retired,Published,true
rec1aFmVc8jpZ2s4p,Signal Drop,"HBM",2026-06-22,2026-08-13,Retired,Published,true
recaZN5LhAF00AqxY,Dark Fiber,"Thermal Terms",2026-06-22,2026-08-13,Retired,Published,true
recMHVWTmJThP568T,Frequency,"Grid & Regulatory Quiz",2026-06-22,2026-08-13,Retired,Published,true
recUDh0MxmTJxdbag,Circuit,"Grid True/False Sprint",2026-06-22,2026-08-13,Retired,Published,true
recgOk6SKiz0HuVd1,The Stack,"Rank Cooling by Density",2026-06-22,2026-08-13,Retired,Published,true
rec7LdM9QotUaQg0z,The Brief,"The Liquid Cooling Inflection",2026-06-22,2026-08-13,Retired,Published,true
recKL9eHrYneXcMrK,Rackl,"Hyperscaler Map",2026-06-23,2026-08-14,Retired,Published,true
recMH4lbS22j7tNWX,Signal Drop,"CURTAILMENT",2026-06-23,2026-08-14,Retired,Published,true
rec9hBcTJRpflW9G3,Dark Fiber,"Grid Terms",2026-06-23,2026-08-14,Retired,Published,true
recC5au5HJhnONYiG,Frequency,"Cooling & Water Quiz",2026-06-23,2026-08-14,Retired,Published,true
recx8QjreixnkUhV9,Circuit,"Cooling True/False Sprint",2026-06-23,2026-08-14,Retired,Published,true
rec8W5TiNxiJGwprc,The Stack,"Rank US ISOs by Peak Demand",2026-06-23,2026-08-14,Retired,Published,true
recOxbe4kN7OiZq2o,The Brief,"The Memory Wall",2026-06-23,2026-08-14,Retired,Published,true
